OCCRNC_YEAR,OCCRNC_MM,OCCRNC_VIRS,OCCRNC_CNT,PATNT_CNT,OCCRNC_IND,HOL_DUR,HOL_IND,CPI_VALUE,WTHR_AVG_TEMP,WTHR_AVG_H_TEMP,WTHR_AVG_L_TEMP,WTHR_AVG_PRECIP,WTHR_AVG_WNDSPD,WTHR_MX_WNDSPD,WTHR_AVG_PRESS,WTHR_MX_PRESS,WTHR_MN_PRESS,WTHR_AVG_SEA_PRESS,WTHR_MX_SEA_PRESS,WTHR_MN_SEA_PRESS,WTHR_AVG_RHUM,WTHR_MN_RHUM,WTHR_SUM_SUNHR,FST_CNT,FST_IND,POP_GEN_CNT,POP_ELM_CNT,POP_MID_CNT,POP_HIGH_CNT,POP_60P_CNT,POP_ELM_PROB,POP_MID_PROB,POP_HIGH_PROB,POP_60P_PROB,POP_DENS,GMS_LIC_CNT
2022,5,바실러스세레우스,0,0,0,4,1,107.5,18,24.6,11.5,5.8,1.9,13.3,1007.7,1017.3,995,1012.8,1022.2,1000,57,1,304.4,91,1,51583722,2755067,1404302,1355523,13207836,0.057383069,0.029249074,0.028233095,0.275095365,513.5593098,113
2022,4,바실러스세레우스,0,0,0,0,0,106.83,13.8,20.4,7.5,59.4,1.9,16.1,1012.1,1025.8,996,1017.4,1031.2,1001.1,60,1,253.1,109,1,51592660,2757394,1406908,1354401,13167688,0.057431536,0.029303352,0.028209726,0.274259155,513.6482951,128
2022,3,바실러스세레우스,0,0,0,0,0,106.1,7.7,13.7,2,89.4,1.9,21.3,1012.5,1023.3,992,1017.9,1028.8,997.5,65,1,190.3,27,1,51610695,2760438,1408491,1354527,13149056,0.057494937,0.029336323,0.028212351,0.273871084,513.8278487,187
2022,2,바실러스세레우스,0,0,0,4,1,105.42,-0.1,5.7,-5.4,3.5,2.2,23.3,1020.2,1029.3,1008.7,1026.1,1035.6,1014.4,52,1,225.1,10,1,51625561,2762186,1410714,1356929,13112922,0.057531345,0.029382624,0.02826238,0.273118478,513.9758522,166
2022,1,바실러스세레우스,0,0,0,9,1,104.85,-0.8,5,-6,2.6,1.7,23.5,1019.1,1027.7,1010.2,1025.2,1034.2,1016.2,57,1,216.3,6,1,51632473,2764545,1413166,1357508,13050969,0.057580478,0.029433695,0.028274439,0.271828109,514.044667,109
2022,12,병원성대장균,1,32,1,0,0,109.26,-1.4,3.8,-6,15.2,1.8,26.3,1019.3,1028.4,1002.5,1025.2,1034.5,1008.6,62,6,189.4,23,1,51439038,2707574,1391232,1380866,13485327,0.056393875,0.028976849,0.028760944,0.280875001,512.118859,92
2022,11,병원성대장균,2,51,1,0,0,109.07,9.6,16.5,3.9,61.6,1.4,19.6,1016.1,1027.6,989,1021.6,1033.8,1008.1,68,2,195.2,35,1,51450829,2715444,1391867,1379019,13444094,0.056557793,0.028990075,0.028722475,0.280016192,512.2362483,99
2022,10,병원성대장균,4,98,1,6,1,109.16,14,20.1,8.9,77.6,1.6,20.5,1016.6,1024.8,1003.4,1022,1030.9,1008.7,73,9,211.8,246,1,51459626,2726224,1391918,1374352,13397164,0.056782321,0.028991138,0.028625269,0.279038725,512.3238299,81
2022,9,병원성대장균,4,153,1,4,1,108.82,21,26.3,16.6,150.8,1.7,37.3,1008.2,1015,983.4,1013.3,1020.3,989.1,77,13,180.9,93,1,51466658,2737961,1393598,1369211,13338866,0.057026782,0.029026129,0.028518192,0.277824483,512.3938393,110
2022,8,병원성대장균,4,169,1,3,1,108.63,25.3,29.1,22.1,311.5,1.6,17,1002.7,1011.9,995,1007.6,1017.2,1000.1,83,23,143.8,61,1,51558441,2745763,1396099,1363902,13331863,0.057189283,0.02907822,0.028407615,0.277678623,513.3076162,102
2022,7,병원성대장균,5,111,1,0,0,108.73,25.9,30.3,22.5,178.4,1.6,15,1001.3,1010.8,992.6,1006.2,1016,997.4,81,23,182,48,1,51574446,2749731,1401544,1358083,13287755,0.05727193,0.02919163,0.028286416,0.276759933,513.4669595,108
2022,6,병원성대장균,5,194,1,3,1,108.21,22.4,27.2,18.3,184.7,2,18.5,1003,1010.4,990.3,1008,1015.6,995.2,76,2,178.9,42,1,51578178,2752434,1403545,1356584,13244642,0.057328228,0.029233307,0.028255194,0.275861967,513.5041147,124
2022,5,병원성대장균,2,44,1,4,1,107.5,18,24.6,11.5,5.8,1.9,13.3,1007.7,1017.3,995,1012.8,1022.2,1000,57,1,304.4,91,1,51583722,2755067,1404302,1355523,13207836,0.057383069,0.029249074,0.028233095,0.275095365,513.5593098,113
2022,4,병원성대장균,0,0,0,0,0,106.83,13.8,20.4,7.5,59.4,1.9,16.1,1012.1,1025.8,996,1017.4,1031.2,1001.1,60,1,253.1,109,1,51592660,2757394,1406908,1354401,13167688,0.057431536,0.029303352,0.028209726,0.274259155,513.6482951,128
2022,3,병원성대장균,0,0,0,0,0,106.1,7.7,13.7,2,89.4,1.9,21.3,1012.5,1023.3,992,1017.9,1028.8,997.5,65,1,190.3,27,1,51610695,2760438,1408491,1354527,13149056,0.057494937,0.029336323,0.028212351,0.273871084,513.8278487,187
2022,2,병원성대장균,0,0,0,4,1,105.42,-0.1,5.7,-5.4,3.5,2.2,23.3,1020.2,1029.3,1008.7,1026.1,1035.6,1014.4,52,1,225.1,10,1,51625561,2762186,1410714,1356929,13112922,0.057531345,0.029382624,0.02826238,0.273118478,513.9758522,166
2022,1,병원성대장균,0,0,0,9,1,104.85,-0.8,5,-6,2.6,1.7,23.5,1019.1,1027.7,1010.2,1025.2,1034.2,1016.2,57,1,216.3,6,1,51632473,2764545,1413166,1357508,13050969,0.057580478,0.029433695,0.028274439,0.271828109,514.044667,109
2022,12,살모넬라,1,3,1,0,0,109.26,-1.4,3.8,-6,15.2,1.8,26.3,1019.3,1028.4,1002.5,1025.2,1034.5,1008.6,62,6,189.4,23,1,51439038,2707574,1391232,1380866,13485327,0.056393875,0.028976849,0.028760944,0.280875001,512.118859,92
2022,11,살모넬라,1,73,1,0,0,109.07,9.6,16.5,3.9,61.6,1.4,19.6,1016.1,1027.6,989,1021.6,1033.8,1008.1,68,2,195.2,35,1,51450829,2715444,1391867,1379019,13444094,0.056557793,0.028990075,0.028722475,0.280016192,512.2362483,99
2022,10,살모넬라,0,0,0,6,1,109.16,14,20.1,8.9,77.6,1.6,20.5,1016.6,1024.8,1003.4,1022,1030.9,1008.7,73,9,211.8,246,1,51459626,2726224,1391918,1374352,13397164,0.056782321,0.028991138,0.028625269,0.279038725,512.3238299,81
2022,9,살모넬라,7,277,1,4,1,108.82,21,26.3,16.6,150.8,1.7,37.3,1008.2,1015,983.4,1013.3,1020.3,989.1,77,13,180.9,93,1,51466658,2737961,1393598,1369211,13338866,0.057026782,0.029026129,0.028518192,0.277824483,512.3938393,110
2022,8,살모넬라,5,210,1,3,1,108.63,25.3,29.1,22.1,311.5,1.6,17,1002.7,1011.9,995,1007.6,1017.2,1000.1,83,23,143.8,61,1,51558441,2745763,1396099,1363902,13331863,0.057189283,0.02907822,0.028407615,0.277678623,513.3076162,102
2022,7,살모넬라,11,234,1,0,0,108.73,25.9,30.3,22.5,178.4,1.6,15,1001.3,1010.8,992.6,1006.2,1016,997.4,81,23,182,48,1,51574446,2749731,1401544,1358083,13287755,0.05727193,0.02919163,0.028286416,0.276759933,513.4669595,108
2022,6,살모넬라,5,103,1,3,1,108.21,22.4,27.2,18.3,184.7,2,18.5,1003,1010.4,990.3,1008,1015.6,995.2,76,2,178.9,42,1,51578178,2752434,1403545,1356584,13244642,0.057328228,0.029233307,0.028255194,0.275861967,513.5041147,124
2022,5,살모넬라,9,288,1,4,1,107.5,18,24.6,11.5,5.8,1.9,13.3,1007.7,1017.3,995,1012.8,1022.2,1000,57,1,304.4,91,1,51583722,2755067,1404302,1355523,13207836,0.057383069,0.029249074,0.028233095,0.275095365,513.5593098,113
2022,4,살모넬라,0,0,0,0,0,106.83,13.8,20.4,7.5,59.4,1.9,16.1,1012.1,1025.8,996,1017.4,1031.2,1001.1,60,1,253.1,109,1,51592660,2757394,1406908,1354401,13167688,0.057431536,0.029303352,0.028209726,0.274259155,513.6482951,128
2022,3,살모넬라,2,9,1,0,0,106.1,7.7,13.7,2,89.4,1.9,21.3,1012.5,1023.3,992,1017.9,1028.8,997.5,65,1,190.3,27,1,51610695,2760438,1408491,1354527,13149056,0.057494937,0.029336323,0.028212351,0.273871084,513.8278487,187
2022,2,살모넬라,2,35,1,4,1,105.42,-0.1,5.7,-5.4,3.5,2.2,23.3,1020.2,1029.3,1008.7,1026.1,1035.6,1014.4,52,1,225.1,10,1,51625561,2762186,1410714,1356929,13112922,0.057531345,0.029382624,0.02826238,0.273118478,513.9758522,166
2022,1,살모넬라,1,3,1,9,1,104.85,-0.8,5,-6,2.6,1.7,23.5,1019.1,1027.7,1010.2,1025.2,1034.2,1016.2,57,1,216.3,6,1,51632473,2764545,1413166,1357508,13050969,0.057580478,0.029433695,0.028274439,0.271828109,514.044667,109
2022,12,원충,0,0,0,0,0,109.26,-1.4,3.8,-6,15.2,1.8,26.3,1019.3,1028.4,1002.5,1025.2,1034.5,1008.6,62,6,189.4,23,1,51439038,2707574,1391232,1380866,13485327,0.056393875,0.028976849,0.028760944,0.280875001,512.118859,92
2022,11,원충,0,0,0,0,0,109.07,9.6,16.5,3.9,61.6,1.4,19.6,1016.1,1027.6,989,1021.6,1033.8,1008.1,68,2,195.2,35,1,51450829,2715444,1391867,1379019,13444094,0.056557793,0.028990075,0.028722475,0.280016192,512.2362483,99
2022,10,원충,1,7,1,6,1,109.16,14,20.1,8.9,77.6,1.6,20.5,1016.6,1024.8,1003.4,1022,1030.9,1008.7,73,9,211.8,246,1,51459626,2726224,1391918,1374352,13397164,0.056782321,0.028991138,0.028625269,0.279038725,512.3238299,81
2022,9,원충,1,2,1,4,1,108.82,21,26.3,16.6,150.8,1.7,37.3,1008.2,1015,983.4,1013.3,1020.3,989.1,77,13,180.9,93,1,51466658,2737961,1393598,1369211,13338866,0.057026782,0.029026129,0.028518192,0.277824483,512.3938393,110
2022,8,원충,1,2,1,3,1,108.63,25.3,29.1,22.1,311.5,1.6,17,1002.7,1011.9,995,1007.6,1017.2,1000.1,83,23,143.8,61,1,51558441,2745763,1396099,1363902,13331863,0.057189283,0.02907822,0.028407615,0.277678623,513.3076162,102
2022,7,원충,1,2,1,0,0,108.73,25.9,30.3,22.5,178.4,1.6,15,1001.3,1010.8,992.6,1006.2,1016,997.4,81,23,182,48,1,51574446,2749731,1401544,1358083,13287755,0.05727193,0.02919163,0.028286416,0.276759933,513.4669595,108
2022,6,원충,0,0,0,3,1,108.21,22.4,27.2,18.3,184.7,2,18.5,1003,1010.4,990.3,1008,1015.6,995.2,76,2,178.9,42,1,51578178,2752434,1403545,1356584,13244642,0.057328228,0.029233307,0.028255194,0.275861967,513.5041147,124
2022,5,원충,1,5,1,4,1,107.5,18,24.6,11.5,5.8,1.9,13.3,1007.7,1017.3,995,1012.8,1022.2,1000,57,1,304.4,91,1,51583722,2755067,1404302,1355523,13207836,0.057383069,0.029249074,0.028233095,0.275095365,513.5593098,113
2022,4,원충,1,6,1,0,0,106.83,13.8,20.4,7.5,59.4,1.9,16.1,1012.1,1025.8,996,1017.4,1031.2,1001.1,60,1,253.1,109,1,51592660,2757394,1406908,1354401,13167688,0.057431536,0.029303352,0.028209726,0.274259155,513.6482951,128
2022,3,원충,0,0,0,0,0,106.1,7.7,13.7,2,89.4,1.9,21.3,1012.5,1023.3,992,1017.9,1028.8,997.5,65,1,190.3,27,1,51610695,2760438,1408491,1354527,13149056,0.057494937,0.029336323,0.028212351,0.273871084,513.8278487,187
2022,2,원충,0,0,0,4,1,105.42,-0.1,5.7,-5.4,3.5,2.2,23.3,1020.2,1029.3,1008.7,1026.1,1035.6,1014.4,52,1,225.1,10,1,51625561,2762186,1410714,1356929,13112922,0.057531345,0.029382624,0.02826238,0.273118478,513.9758522,166
2022,1,원충,0,0,0,9,1,104.85,-0.8,5,-6,2.6,1.7,23.5,1019.1,1027.7,1010.2,1025.2,1034.2,1016.2,57,1,216.3,6,1,51632473,2764545,1413166,1357508,13050969,0.057580478,0.029433695,0.028274439,0.271828109,514.044667,109
2022,12,장염비브리오,0,0,0,0,0,109.26,-1.4,3.8,-6,15.2,1.8,26.3,1019.3,1028.4,1002.5,1025.2,1034.5,1008.6,62,6,189.4,23,1,51439038,2707574,1391232,1380866,13485327,0.056393875,0.028976849,0.028760944,0.280875001,512.118859,92
2022,11,장염비브리오,0,0,0,0,0,109.07,9.6,16.5,3.9,61.6,1.4,19.6,1016.1,1027.6,989,1021.6,1033.8,1008.1,68,2,195.2,35,1,51450829,2715444,1391867,1379019,13444094,0.056557793,0.028990075,0.028722475,0.280016192,512.2362483,99
2022,10,장염비브리오,0,0,0,6,1,109.16,14,20.1,8.9,77.6,1.6,20.5,1016.6,1024.8,1003.4,1022,1030.9,1008.7,73,9,211.8,246,1,51459626,2726224,1391918,1374352,13397164,0.056782321,0.028991138,0.028625269,0.279038725,512.3238299,81
2022,9,장염비브리오,0,0,0,4,1,108.82,21,26.3,16.6,150.8,1.7,37.3,1008.2,1015,983.4,1013.3,1020.3,989.1,77,13,180.9,93,1,51466658,2737961,1393598,1369211,13338866,0.057026782,0.029026129,0.028518192,0.277824483,512.3938393,110
2022,8,장염비브리오,0,0,0,3,1,108.63,25.3,29.1,22.1,311.5,1.6,17,1002.7,1011.9,995,1007.6,1017.2,1000.1,83,23,143.8,61,1,51558441,2745763,1396099,1363902,13331863,0.057189283,0.02907822,0.028407615,0.277678623,513.3076162,102
2022,7,장염비브리오,0,0,0,0,0,108.73,25.9,30.3,22.5,178.4,1.6,15,1001.3,1010.8,992.6,1006.2,1016,997.4,81,23,182,48,1,51574446,2749731,1401544,1358083,13287755,0.05727193,0.02919163,0.028286416,0.276759933,513.4669595,108
2022,6,장염비브리오,0,0,0,3,1,108.21,22.4,27.2,18.3,184.7,2,18.5,1003,1010.4,990.3,1008,1015.6,995.2,76,2,178.9,42,1,51578178,2752434,1403545,1356584,13244642,0.057328228,0.029233307,0.028255194,0.275861967,513.5041147,124
2022,5,장염비브리오,0,0,0,4,1,107.5,18,24.6,11.5,5.8,1.9,13.3,1007.7,1017.3,995,1012.8,1022.2,1000,57,1,304.4,91,1,51583722,2755067,1404302,1355523,13207836,0.057383069,0.029249074,0.028233095,0.275095365,513.5593098,113
2022,4,장염비브리오,0,0,0,0,0,106.83,13.8,20.4,7.5,59.4,1.9,16.1,1012.1,1025.8,996,1017.4,1031.2,1001.1,60,1,253.1,109,1,51592660,2757394,1406908,1354401,13167688,0.057431536,0.029303352,0.028209726,0.274259155,513.6482951,128
2022,3,장염비브리오,0,0,0,0,0,106.1,7.7,13.7,2,89.4,1.9,21.3,1012.5,1023.3,992,1017.9,1028.8,997.5,65,1,190.3,27,1,51610695,2760438,1408491,1354527,13149056,0.057494937,0.029336323,0.028212351,0.273871084,513.8278487,187
2022,2,장염비브리오,0,0,0,4,1,105.42,-0.1,5.7,-5.4,3.5,2.2,23.3,1020.2,1029.3,1008.7,1026.1,1035.6,1014.4,52,1,225.1,10,1,51625561,2762186,1410714,1356929,13112922,0.057531345,0.029382624,0.02826238,0.273118478,513.9758522,166
2022,1,장염비브리오,0,0,0,9,1,104.85,-0.8,5,-6,2.6,1.7,23.5,1019.1,1027.7,1010.2,1025.2,1034.2,1016.2,57,1,216.3,6,1,51632473,2764545,1413166,1357508,13050969,0.057580478,0.029433695,0.028274439,0.271828109,514.044667,109
2022,12,캠필로박터제주니,0,0,0,0,0,109.26,-1.4,3.8,-6,15.2,1.8,26.3,1019.3,1028.4,1002.5,1025.2,1034.5,1008.6,62,6,189.4,23,1,51439038,2707574,1391232,1380866,13485327,0.056393875,0.028976849,0.028760944,0.280875001,512.118859,92
2022,11,캠필로박터제주니,1,12,1,0,0,109.07,9.6,16.5,3.9,61.6,1.4,19.6,1016.1,1027.6,989,1021.6,1033.8,1008.1,68,2,195.2,35,1,51450829,2715444,1391867,1379019,13444094,0.056557793,0.028990075,0.028722475,0.280016192,512.2362483,99
2022,10,캠필로박터제주니,0,0,0,6,1,109.16,14,20.1,8.9,77.6,1.6,20.5,1016.6,1024.8,1003.4,1022,1030.9,1008.7,73,9,211.8,246,1,51459626,2726224,1391918,1374352,13397164,0.056782321,0.028991138,0.028625269,0.279038725,512.3238299,81
2022,9,캠필로박터제주니,3,41,1,4,1,108.82,21,26.3,16.6,150.8,1.7,37.3,1008.2,1015,983.4,1013.3,1020.3,989.1,77,13,180.9,93,1,51466658,2737961,1393598,1369211,13338866,0.057026782,0.029026129,0.028518192,0.277824483,512.3938393,110
2022,8,캠필로박터제주니,0,0,0,3,1,108.63,25.3,29.1,22.1,311.5,1.6,17,1002.7,1011.9,995,1007.6,1017.2,1000.1,83,23,143.8,61,1,51558441,2745763,1396099,1363902,13331863,0.057189283,0.02907822,0.028407615,0.277678623,513.3076162,102
2022,7,캠필로박터제주니,5,114,1,0,0,108.73,25.9,30.3,22.5,178.4,1.6,15,1001.3,1010.8,992.6,1006.2,1016,997.4,81,23,182,48,1,51574446,2749731,1401544,1358083,13287755,0.05727193,0.02919163,0.028286416,0.276759933,513.4669595,108
2022,6,캠필로박터제주니,3,59,1,3,1,108.21,22.4,27.2,18.3,184.7,2,18.5,1003,1010.4,990.3,1008,1015.6,995.2,76,2,178.9,42,1,51578178,2752434,1403545,1356584,13244642,0.057328228,0.029233307,0.028255194,0.275861967,513.5041147,124
2022,5,캠필로박터제주니,1,41,1,4,1,107.5,18,24.6,11.5,5.8,1.9,13.3,1007.7,1017.3,995,1012.8,1022.2,1000,57,1,304.4,91,1,51583722,2755067,1404302,1355523,13207836,0.057383069,0.029249074,0.028233095,0.275095365,513.5593098,113
2022,4,캠필로박터제주니,1,3,1,0,0,106.83,13.8,20.4,7.5,59.4,1.9,16.1,1012.1,1025.8,996,1017.4,1031.2,1001.1,60,1,253.1,109,1,51592660,2757394,1406908,1354401,13167688,0.057431536,0.029303352,0.028209726,0.274259155,513.6482951,128
2022,3,캠필로박터제주니,0,0,0,0,0,106.1,7.7,13.7,2,89.4,1.9,21.3,1012.5,1023.3,992,1017.9,1028.8,997.5,65,1,190.3,27,1,51610695,2760438,1408491,1354527,13149056,0.057494937,0.029336323,0.028212351,0.273871084,513.8278487,187
2022,2,캠필로박터제주니,0,0,0,4,1,105.42,-0.1,5.7,-5.4,3.5,2.2,23.3,1020.2,1029.3,1008.7,1026.1,1035.6,1014.4,52,1,225.1,10,1,51625561,2762186,1410714,1356929,13112922,0.057531345,0.029382624,0.02826238,0.273118478,513.9758522,166
2022,1,캠필로박터제주니,0,0,0,9,1,104.85,-0.8,5,-6,2.6,1.7,23.5,1019.1,1027.7,1010.2,1025.2,1034.2,1016.2,57,1,216.3,6,1,51632473,2764545,1413166,1357508,13050969,0.057580478,0.029433695,0.028274439,0.271828109,514.044667,109
2022,12,클로스트리디움퍼프린젠스,0,0,0,0,0,109.26,-1.4,3.8,-6,15.2,1.8,26.3,1019.3,1028.4,1002.5,1025.2,1034.5,1008.6,62,6,189.4,23,1,51439038,2707574,1391232,1380866,13485327,0.056393875,0.028976849,0.028760944,0.280875001,512.118859,92
2022,11,클로스트리디움퍼프린젠스,0,0,0,0,0,109.07,9.6,16.5,3.9,61.6,1.4,19.6,1016.1,1027.6,989,1021.6,1033.8,1008.1,68,2,195.2,35,1,51450829,2715444,1391867,1379019,13444094,0.056557793,0.028990075,0.028722475,0.280016192,512.2362483,99
2022,10,클로스트리디움퍼프린젠스,2,171,1,6,1,109.16,14,20.1,8.9,77.6,1.6,20.5,1016.6,1024.8,1003.4,1022,1030.9,1008.7,73,9,211.8,246,1,51459626,2726224,1391918,1374352,13397164,0.056782321,0.028991138,0.028625269,0.279038725,512.3238299,81
2022,9,클로스트리디움퍼프린젠스,2,46,1,4,1,108.82,21,26.3,16.6,150.8,1.7,37.3,1008.2,1015,983.4,1013.3,1020.3,989.1,77,13,180.9,93,1,51466658,2737961,1393598,1369211,13338866,0.057026782,0.029026129,0.028518192,0.277824483,512.3938393,110
2022,8,클로스트리디움퍼프린젠스,0,0,0,3,1,108.63,25.3,29.1,22.1,311.5,1.6,17,1002.7,1011.9,995,1007.6,1017.2,1000.1,83,23,143.8,61,1,51558441,2745763,1396099,1363902,13331863,0.057189283,0.02907822,0.028407615,0.277678623,513.3076162,102
2022,7,클로스트리디움퍼프린젠스,0,0,0,0,0,108.73,25.9,30.3,22.5,178.4,1.6,15,1001.3,1010.8,992.6,1006.2,1016,997.4,81,23,182,48,1,51574446,2749731,1401544,1358083,13287755,0.05727193,0.02919163,0.028286416,0.276759933,513.4669595,108
2022,6,클로스트리디움퍼프린젠스,1,399,1,3,1,108.21,22.4,27.2,18.3,184.7,2,18.5,1003,1010.4,990.3,1008,1015.6,995.2,76,2,178.9,42,1,51578178,2752434,1403545,1356584,13244642,0.057328228,0.029233307,0.028255194,0.275861967,513.5041147,124
2022,5,클로스트리디움퍼프린젠스,2,162,1,4,1,107.5,18,24.6,11.5,5.8,1.9,13.3,1007.7,1017.3,995,1012.8,1022.2,1000,57,1,304.4,91,1,51583722,2755067,1404302,1355523,13207836,0.057383069,0.029249074,0.028233095,0.275095365,513.5593098,113
2022,4,클로스트리디움퍼프린젠스,0,0,0,0,0,106.83,13.8,20.4,7.5,59.4,1.9,16.1,1012.1,1025.8,996,1017.4,1031.2,1001.1,60,1,253.1,109,1,51592660,2757394,1406908,1354401,13167688,0.057431536,0.029303352,0.028209726,0.274259155,513.6482951,128
